id,name,popularity,followers,genres,user,detected category,record_label
03D2b6ATNCne8B3D251ncQ,Nation,32,13114,"electroclash, hyperpop",I,Electronic; Pop,"Nation, YEAR0001"
03YhcM6fxypfwckPCQV8pQ,Wes Montgomery,53,314967,"bebop, cool jazz, hard bop, jazz, jazz blues",I,Jazz,"Craft Recordings, Original Jazz Classics, Resonance Records"
048LktY5zMnakWq7PTtFrz,CKay,69,1738861,"afro r&b, afrobeat, afrobeats, afropop",M,R&B,"Chocolate City Music, WM South Africa, Warner Music Africa"
04GCjO1r1hPelibCUq9S8H,Fog Lake,50,154390,"lo-fi indie, slowcore",C,Alternative/Indie,Fog Lake
08GQAI4eElDnROBrJRGE0X,Fleetwood Mac,85,14129737,"classic rock, rock, soft rock, yacht rock","I, C",Rock/Metal,"Reprise, Rhino/Warner Records, Ryko/Rhino, Sony Music CG, Warner Records"
0EUOiLsLpv9g7H9YCzUnBS,･ ･－･ ･－ ･･･ ･ －･･,40,240972,"alternaive, singer songwriter",C,Alternative/Indie,Unknown
0ErzCpIMyLcjPiwT4elrtZ,NLE Choppa,76,10108543,"rap, trap",M,Hip Hop/Rap,"STREETZRUS, LLC., Warner Records"
0FEJqmeLRzsXj8hgcZaAyB,Indila,71,2585730,french pop,M,International; Pop,Universal Music Division Island Def Jam
0FRKTwQSToXpCxYMhyUzYY,Have A Nice Life,56,515808,"shoegaze, slowcore",C,Rock/Metal,"NL, The Flenser"
0JTq0OP9uGo5T6gG6UNsma,Sebastian Comberti,47,1734,indie,I,Alternative/Indie,"Cello Classics, Clarinet and Saxophone Classics, Claves Records, Disky, harmonia mundi"
0LcJLqbBmaGUft1e9Mm8HV,ABBA,81,15045207,"disco, pop",M,Pop,Polar Music International AB
0Ld26D4Ya5Od7ZZpLanfQJ,DJ Candlestick,47,12842,"hip hop, turntablism",M,Hip Hop/Rap,"Blixky Ent., CHOPNOTSLOP ENT, CLS Music, ChopNotSlop Ent., ISO Supremacy under exclusive license to UnitedMasters LLC, OVO Sound, Viper Records"
0Q17losYLQmvFMI0dxBqIz,Leo Kaliski,33,703,indie,I,Alternative/Indie,Unknown
0RESbWvOMyua0yuyVrztJ5,Key Glock,74,2423599,"southern hip hop, trap",M,Hip Hop/Rap,"Key Glock, Paper Route EMPIRE"
0VRj0yCOv2FXJNP47XQnx5,Quavo,78,8156732,"rap, trap",M,Hip Hop/Rap,"Quality Control Music - Epic, Quality Control Music/Motown Records, Quality Control Music/Motown Records/Capitol Records"
0WPY9nnBy01s5QOt4o4oQX,Ride,44,259326,"britpop, dream pop, jangle pop, madchester, neo-psychedelic, shoegaze, slowcore",C,Alternative/Indie; Pop; Rock/Metal,"Rhino/Warner Records, Wichita Recordings, Wichita Recordings Ltd."
