name,id.x,popularity,followers,user,id.y,collaborators,genre,record_label
･ ･－･ ･－ ･･･ ･ －･･,0EUOiLsLpv9g7H9YCzUnBS,40,240972,C,0EUOiLsLpv9g7H9YCzUnBS,,"alternaive, singer songwriter",Unknown
21 Savage,1URnnhqYAYcrqrcwql10ft,86,24083002,M,1URnnhqYAYcrqrcwql10ft,"A$AP Rocky, Brent Faiyaz, Calvin Harris, Central Cee, Drake, Future, Gucci Mane, Gunna, Jhené Aiko, King Von, Kodak Black, Lil Baby, Lil Durk, Metro Boomin, Offset, Quavo, SahBabii, Travis Scott, Tyler, The Creator, Young Nudy, Young Thug","rap, trap","OVO / Republic Records, Republic Records, Slaughter Gang, LLC/Epic Records, Slaughter Gang, LLC/Epic/Boominati Worldwide/Republic"
2hollis,72NhFAGG5Pt91VbheJeEPG,72,577572,I,72NhFAGG5Pt91VbheJeEPG,,"electroclash, hyperpop","2hollis, 2hollis under exclusive license to Interscope Records"
42 Dugg,45gHcnDnMC15sgx3VL7ROG,70,1609971,M,45gHcnDnMC15sgx3VL7ROG,"Future, Lil Baby, Lil Durk, Lil Tjay, Lil Uzi Vert, Meek Mill, Moneybagg Yo, Tee Grizzley","detroit hip hop, trap","4PF/CMG, 4PF/CMG/Interscope Records, CMG/4PF/Free Dem Boyz, CMG/Warlike/Interscope Records, NEW CMG 42 Dugg P&D"
6ix9ine,7gZfnEnfiaHzxARJ2LeXrf,72,6970203,M,7gZfnEnfiaHzxARJ2LeXrf,"A Boogie Wit da Hoodie, Gunna, Kanye West, Kodak Black, Lil Baby, Offset, Tory Lanez, Young Thug","rap, trap","6ix9ine, 6ix9ine / La Corporación Music, ScumGang Records / TenThousand Projects, LLC, Scumgang Records, Scumgang/TenThousand Projects"
A Beacon School,5Kbx8AkkM7259YdQh4rTdX,38,50151,C,5Kbx8AkkM7259YdQh4rTdX,,dream pop,Grind Select
A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,79,9031342,M,31W5EY0aAly4Qieq6OFu6I,"21 Savage, 6ix9ine, DaBaby, Ed Sheeran, Future, Gunna, Kap G, Kodak Black, Lil Durk, Lil Tecca, Lil Uzi Vert, Meek Mill, NAV, Offset, Pop Smoke, Tiësto, Tory Lanez, Young Thug",melodic rap,"Highbridge The Label, Highbridge the Label / Atlantic Records"
A Perfect Circle,4DFhHyjvGYa9wxdHUjtDkc,64,2087185,C,4DFhHyjvGYa9wxdHUjtDkc,,alternative metal,"A Perfect Circle, BMG Rights Management (US) LLC, Virgin Records"
A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,84,17470729,M,13ubrt8QOOCPljQ2FL1Kca,"21 Savage, A Boogie Wit da Hoodie, BlocBoy JB, Blood Orange, Brent Faiyaz, Dean Blunt, DJ Candlestick, DJ Premier, Drake, Frank Ocean, Future, Gucci Mane, ISO Supremacy, Kanye West, Kendrick Lamar, Kodak Black, Lil Uzi Vert, Lil Yachty, MadeinTYO, Metro Boomin, Moby, Mustard, Offset, Playboi Carti, Pop Smoke, Quavo, Rich The Kid, Skepta, The Weeknd, Tyler, The Creator, Young Thug",rap,A$AP Worldwide/Polo Grounds Music/RCA Records
ABBA,0LcJLqbBmaGUft1e9Mm8HV,81,15045207,M,0LcJLqbBmaGUft1e9Mm8HV,,"disco, pop",Polar Music International AB
Alex G,6lcwlkAjBPSKnFBZjjZFJs,76,3611920,"I, C",6lcwlkAjBPSKnFBZjjZFJs,,indie,"A24 Music, Alex G/RCA Records, Domino Recording Co, Lucky Number, Many Hats Distribution, Milan"
Amen Dunes,1jwOuEBcOKq0BeudSarbEM,35,78199,C,1jwOuEBcOKq0BeudSarbEM,,"alternative, indie","Sacred Bones Records, Sub Pop Records"
Antoni Wit,2OJaTm0rPZVyMA5k5s8vbh,49,2411,I,2OJaTm0rPZVyMA5k5s8vbh,"Camille Saint-Saëns, Frédéric Chopin, Idil Biret, Johannes Brahms, Markus Pawlik, Moritz Moszkowski, Polish National Radio Symphony Orchestra","classical, requiem","CD Accord, CapriccioNR, DUX, Naxos, Naxos Special Projects"
Arcade Fire,3kjuyTCjPG1WMFCiyc5IuB,64,2403466,C,3kjuyTCjPG1WMFCiyc5IuB,,"baroque pop, indie rock","Columbia, Masterworks, Sony Music CG"
Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH,86,32398889,I,7Ln80lUS6He07XvHI8qqHH,,"garage rock, indie","Domino Recording Co, Domino/Warner Records"
Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,94,107981653,M,66CXWjxzNUsdJxJ2JdwvnR,"Childish Gambino, Future, The Weeknd",pop,"Republic Records, Universal Records, Universal Studios and Republic Records, Wicked Soundtrack"
Ariel Pink,5H0YoDsPDi9fObFmJtTjfN,49,337309,C,5H0YoDsPDi9fObFmJtTjfN,,neo-psychedelic,"4AD, AjA Records, Golden Triangles, LAC Records, MG.ART, Mexican Summer, Play Nice, Spunky Monkey Music"
Augustine Mayuga Gonzales,5rIiXGQsgxh3nQhEpFIbx7,45,3220,I,5rIiXGQsgxh3nQhEpFIbx7,"David Peacock, Toby Fox",indie,"Materia Collective, Mecha Dream Records, infin et al."
Avicii,1vCWHaC5f2uS3yhpwWbIA6,81,23467417,I,1vCWHaC5f2uS3yhpwWbIA6,"Joel Corry, Tiësto",edm,"Pophouse Entertainment Group, Universal Music AB"
bar italia,6tYmTHApvspl6KAgTfHjAY,49,86285,C,6tYmTHApvspl6KAgTfHjAY,,lo-fi indie,"Many Hats Distribution, Matador, World Music"
Beach House,56ZTgzPBDge0OvCGgMO3OY,73,2841042,"I, C",56ZTgzPBDge0OvCGgMO3OY,,"dream pop, pop","Lemon Glow Records, Sub Pop Records"
Big Scarr,579LsvZcRVKtToYjS0tkKz,60,642414,M,579LsvZcRVKtToYjS0tkKz,"Gucci Mane, Key Glock, NLE Choppa, Offset, Pooh Shiesty","southern hip hop, trap","1017/Atlantic, Atlantic Records"
Billie Holiday,1YzCsTRb22dQkh9lghPIrp,66,2081648,I,1YzCsTRb22dQkh9lghPIrp,,"big band, jazz, jazz blues, vocal jazz","Diggers Factory, Editions Audiovisuel Beulah, Ermitage Records, Mouton Recordings, OVC Media, Verve, Verve Reissues, Wet Music"
Bladee,2xvtxDNInKDV4AvGmjw6d1,69,636868,I,2xvtxDNInKDV4AvGmjw6d1,"Ecco2k, Nation, Oklou, Thaiboy Digital, Varg²™, Yung Lean","cloud rap, hyperpop","Trash Island, World Affairs, YEAR0001"
BlocBoy JB,4TEJudQY2pXxVHPE3gD2EU,55,1439605,M,4TEJudQY2pXxVHPE3gD2EU,"21 Savage, Drake, HoodRich Pablo Juan, Lil Durk, Lil Uzi Vert, Moneybagg Yo, NLE Choppa, Pooh Shiesty","southern hip hop, trap","Bloc Nation, BlocBoy JB, Foundation Entertainment/Interscope Records"
Blood Orange,6LEeAFiJF8OuPx747e1wxR,72,1366600,C,6LEeAFiJF8OuPx747e1wxR,"A$AP Rocky, Skepta, Steve Lacy, Tame Impala, Yves Tumor",art pop,"Domino Recording Co, Domino Recording Co./RCA Records"
bôa,5jTtGLk1mGFMY5lQOvJYUj,69,1209598,C,5jTtGLk1mGFMY5lQOvJYUj,,alternative rock,Nettwerk Music Group
