id,name,popularity,followers,genres,user
03D2b6ATNCne8B3D251ncQ,Nation,32,13114,"electroclash, hyperpop",I
03YhcM6fxypfwckPCQV8pQ,Wes Montgomery,53,314967,"bebop, cool jazz, hard bop, jazz, jazz blues",I
048LktY5zMnakWq7PTtFrz,CKay,69,1738861,"afro r&b, afrobeat, afrobeats, afropop",M
04GCjO1r1hPelibCUq9S8H,Fog Lake,50,154390,"lo-fi indie, slowcore",C
08GQAI4eElDnROBrJRGE0X,Fleetwood Mac,85,14129737,"classic rock, rock, soft rock, yacht rock","I, C"
0EUOiLsLpv9g7H9YCzUnBS,･ ･－･ ･－ ･･･ ･ －･･,40,240972,"alternative, singer songwriter",C
0ErzCpIMyLcjPiwT4elrtZ,NLE Choppa,76,10108543,"rap, trap",M
0FEJqmeLRzsXj8hgcZaAyB,Indila,71,2585730,french pop,M
0FRKTwQSToXpCxYMhyUzYY,Have A Nice Life,56,515808,"shoegaze, slowcore",C
0JTq0OP9uGo5T6gG6UNsma,Sebastian Comberti,47,1734,indie,I
0LcJLqbBmaGUft1e9Mm8HV,ABBA,81,15045207,"disco, pop",M
0Ld26D4Ya5Od7ZZpLanfQJ,DJ Candlestick,47,12842,"hip hop, turntablism",M
0Q17losYLQmvFMI0dxBqIz,Leo Kaliski,33,703,indie,I
0RESbWvOMyua0yuyVrztJ5,Key Glock,74,2423599,"southern hip hop, trap",M
0VRj0yCOv2FXJNP47XQnx5,Quavo,78,8156732,"rap, trap",M
0WPY9nnBy01s5QOt4o4oQX,Ride,44,259326,"britpop, dream pop, jangle pop, madchester, neo-psychedelic, shoegaze, slowcore",C
0Y4inQK6OespitzD6ijMwb,Freddie Gibbs,70,1491998,"alternative hip hop, jazz rap",C
0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,91,41542753,rap,"M, C"
0YinUQ50QDB7ZxSCLyQ40k,Mustard,72,1964025,"hip hop, west coast hip hop",M
0d2BmAcZ7p8vrtBPY48WMW,Department Of Eagles,29,53227,indie,C
0eDvMgVFoNV3TpwtrVCoTj,Pop Smoke,77,15685925,"brooklyn drill, drill, new york drill",M
0eVyjRhzZKke2KFYTcDkeu,The Alchemist,73,907132,"alternative hip hop, boom bap, experimental hip hop, jazz rap",C
0epOFNiUfyON9EYx7Tpr6V,The Strokes,76,6485845,"alternative rock, garage rock, indie rock, rock",I
0iEtIxbK0KxaSlF7G42ZOp,Metro Boomin,85,11832704,"hip hop, trap","M, I"
0pTI6gG0UHQjylvV6mPuHv,Flozigg,39,34209,"drill, uk drill",M
0qZyvjwZauLmrobrpJmvib,"Dream, Ivory",65,525269,alt,I
