id,name,genres,user
03D2b6ATNCne8B3D251ncQ,Nation,hyperpop,I
03YhcM6fxypfwckPCQV8pQ,Wes Montgomery,jazz,I
048LktY5zMnakWq7PTtFrz,CKay,"afrobeats, afrobeat, afro r&b, afropop",M
04GCjO1r1hPelibCUq9S8H,Fog Lake,"slowcore, lo-fi indie",C
08GQAI4eElDnROBrJRGE0X,Fleetwood Mac,rock,"I, C"
0EUOiLsLpv9g7H9YCzUnBS,･ ･－･ ･－ ･･･ ･ －･･,"alternaive, singer songwriter",C
0ErzCpIMyLcjPiwT4elrtZ,NLE Choppa,"trap, rap",M
0FEJqmeLRzsXj8hgcZaAyB,Indila,french pop,M
0FRKTwQSToXpCxYMhyUzYY,Have A Nice Life,"shoegaze, slowcore",C
0JTq0OP9uGo5T6gG6UNsma,Sebastian Comberti,indie,I
0LcJLqbBmaGUft1e9Mm8HV,ABBA,"pop, disco",M
0Ld26D4Ya5Od7ZZpLanfQJ,DJ Candlestick,"hip hop, turntablism",M
0Q17losYLQmvFMI0dxBqIz,Leo Kaliski,indie,I
0RESbWvOMyua0yuyVrztJ5,Key Glock,"trap, southern hip hop",M
0VRj0yCOv2FXJNP47XQnx5,Quavo,"trap, rap",M
0WPY9nnBy01s5QOt4o4oQX,Ride,"shoegaze, dream pop, britpop, madchester, jangle pop, slowcore, neo-psychedelic",C
0Y4inQK6OespitzD6ijMwb,Freddie Gibbs,"jazz rap, alternative hip hop",C
0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,rap,"M, C"
0YinUQ50QDB7ZxSCLyQ40k,Mustard,"west coast hip hop, hip hop",M
0d2BmAcZ7p8vrtBPY48WMW,Department Of Eagles,indie,C
0eDvMgVFoNV3TpwtrVCoTj,Pop Smoke,"brooklyn drill, new york drill, drill",M
0eVyjRhzZKke2KFYTcDkeu,The Alchemist,"alternative hip hop, jazz rap, experimental hip hop, boom bap",C
0epOFNiUfyON9EYx7Tpr6V,The Strokes,rock,I
0iEtIxbK0KxaSlF7G42ZOp,Metro Boomin,"trap, hip hop","M, I"
0pTI6gG0UHQjylvV6mPuHv,Flozigg,"uk drill, drill",M
0qZyvjwZauLmrobrpJmvib,"Dream, Ivory",alt,I
0qu422H5MOoQxGjd4IzHbS,Yves Tumor,"alternative, electronic",C
0spHbv2fw49lDMkbOAdaqX,Dua Lipa,pop,M
0utS63XytOEVN1EtzWhJpG,The Radio Dept.,"dream pop, shoegaze",C
10WfoBIKKTSqCvkeG1XW9T,Rehash,shoegaze,C
11wRdbnoYqRddKBrpHt4Ue,Kasabian,"britpop, indie, indie rock",C
12j6dJrPXanCBwY599pZxf,Matt Maltese,indie,I
13ubrt8QOOCPljQ2FL1Kca,A$AP Rocky,rap,M
13y7CgLHjMVRMDqxdx0Xdo,Gucci Mane,"southern hip hop, rap, trap",M
16lg8y62dC3J6ok1pNAbFJ,Craft Spells,"dream pop, chillwave",C
1DN9Pgv4fiAaRSSgiisj5G,FELIX!,"rap, hip hop",M
1EowJ1WwkMzkCkRomFhui7,RADWIMPS,anime,I
1FHDMgGdmIP4IsoFkAwbS0,River Tiber,"r&b, pop",C
1G5v3lpMz7TeoW0yGpRQHr,George Clanton,"vaporwave, chillwave",C
1Mxqyy3pSjf8kZZL4QVxS0,Frank Sinatra,vocal,I
1QAJqy2dA3ihHBFIHRphZj,Cigarettes After Sex,pop,I
1RyvyyTE3xzB2ZywiAwp0i,Future,rap,M
1SlEW6aktLpc1N6YvdEOmF,Castillo_1st,"latin hip hop, rap",M
1URnnhqYAYcrqrcwql10ft,21 Savage,"rap, trap",M
1WaFQSHVGZQJTbf0BdxdNo,Tommy Richman,"alternative r&b, indie pop",M
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,"r&b, pop","M, I"
1YzCsTRb22dQkh9lghPIrp,Billie Holiday,jazz,I
1ZLO8d7zll1WeQJUHaxQer,HoodRich Pablo Juan,"trap, southern hip hop",M
1jwOuEBcOKq0BeudSarbEM,Amen Dunes,"alternative, indie",C
1lv5lu5VRmHIsFz006l5rF,limly,edm,I
1nJvji2KIlWSseXRSlNYsC,The Velvet Underground,rock,I
1nVq0hKIVReeaiB3xJgKf0,Molchat Doma,rock,I
1pPmIToKXyGdsCF6LmqLmI,Rich The Kid,trap,M
1r1uxoy19fzMxunt3ONAkG,Phoebe Bridgers,indie,I
1rAv1GhTQ2rmG94p9lU3rB,Julian Casablancas,indie,I
1t20wYnTiAT0Bs7H1hv9Wt,EDEN,alt,I
1tG7s7S4sq2eFFW0QZyLbm,Sheff G,"brooklyn drill, new york drill, drill",M
1tHzhv6nGl2i5ZaSSFiwK7,You'll Never Get to Heaven,"dream pop, shoegaze",C
1tnjjbgszXYa8BbyTzwM0w,Whirr,"shoegaze, slowcore, dream pop",C
1vCWHaC5f2uS3yhpwWbIA6,Avicii,edm,I
1w5Kfo2jwwIPruYS2UWh56,Pearl Jam,"grunge, rock, post-grunge",C
1xA7r3Y1UGCp3rQMkgFXz4,Faramarz Aslani,"persian pop, iranian pop",M
1xr2G8Hlx4QWmT9HaUbmoO,Young Stoner Life,"trap, rap",M
1ymHnk986duca17oMSDzwb,Christine Croshaw,classical,I
1zg9SzoXC2U50P7Q403Alo,Phantom Handshakes,"dream pop, shoegaze",C
20sxb77xiYeusSH8cVdatc,Meek Mill,rap,M
23DYJsw4uSCguIqiTIDtcN,Southside,chicago drill,M
2A1dxDBORVkkbHJDVDOhed,Free Party,"uk drill, drill",M
2ApaG60P4r0yhBoDCGD8YG,Elliott Smith,indie,I
2CnhqfjUG0qzsru0SMuhrk,Title Fight,"midwest emo, shoegaze, post-hardcore, melodic hardcore, emo",C
2GkzAz3xr5IasfL5ukwDb9,No Clear Mind,post-rock,C
2IEnjZsVDEPKUTxNinyqba,Tiffany Gouché,"r&b, soul",M
2Jv5eshHtLycR6R8KQCdc4,Grizzly Bear,"indie, baroque pop, indie rock",C
2OJaTm0rPZVyMA5k5s8vbh,Antoni Wit,classical,I
2SaIA1enj83vEmJikZdjQ3,Triathalon,bedroom pop,C
2UZMlIwnkgAEDBsw1Rejkn,Tom Petty,classic rock,C
2UazAtjfzqBF0Nho2awK4z,Stone Temple Pilots,"grunge, alternative rock, post-grunge, rock",C
2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,"hip hop, west coast hip hop","M, I, C"
2exkZbmNqMKnT8LRWuxWgy,Moderat,"idm, electronica",C
2gClsBep1tt1rv1CN210SO,Gabriel Fauré,classical,I
2gbT6GPXMis0OAkZbEQCYB,Pinegrove,midwest,I
2h93pZq0e7k5yf4dywlkpM,Frank Ocean,alt,I
2hR4h1Cao2ueuI7Cx9c7V8,Cavetown,indie,I
2hlmm7s2ICUX0LVIhVFlZQ,Gunna,melodic rap,M
2jku7tDXc6XoB6MO2hFuqg,Tory Lanez,"r&b, rap, canadian hip hop",M
2n6FviARgtjjimZXu18uRM,Le Tigre,indie,I
2o5jDhtHVPhrJdv3cEQ99Z,Tiësto,"edm, trance, big room",M
2p1fiYHYiXz9qi0JJyxBzN,Skepta,"grime, uk grime",M
2qk9voo8llSGYcZ6xrBzKx,Kings of Leon,rock,C
2qvGuhgaubJ02pfiKcJAdR,Juliana Chahayed,edm,I
2sSGPbdZJkaSE2AbcGOACx,The Marías,pop,I
2uYWxilOVlUdk4oV9DvwqK,Mitski,alt,I
2xvtxDNInKDV4AvGmjw6d1,Bladee,hyperpop,I
2yEwvVSSSUkcLeSTNyHKh8,TOOL,"progressive metal, alternative metal, progressive rock, metal",C
30F64wQIHvLiFTGaNZ73nU,Sewerslvt,"breakcore, jungle, speedcore, hyperpop",C
31W5EY0aAly4Qieq6OFu6I,A Boogie Wit da Hoodie,melodic rap,M
34vLhockmYhf3LgznwyNaQ,POLIÇA,"alternative, indie",C
36ufPZjygPOubok9wycfl9,Död Mark,indie,I
38u18VoGaIwVeSyVoA0eU5,Hope Sandoval & The Warm Inventions,"slowcore, dream pop, art pop",C
