name,id,genres,user
Alex G,6lcwlkAjBPSKnFBZjjZFJs,"alternative, indie",C
･ ･－･ ･－ ･･･ ･ －･･,0EUOiLsLpv9g7H9YCzUnBS,"alternaive, singer songwriter",C
The Crying Nudes,3tM7dj8ztmzKcugbIVMxy0,"alternative, indie",C
Her's,77mJc3M7ZT5oOVM7gNdXim,indie,C
SOHN,6XZYAWJLL8UIbxAqjKj3cg,"alternative, indie",C
Deftones,6Ghvu1VvMGScGpOUJBAHNH,"nu metal, alternative metal, rap metal, shoegaze, rock",C
Yves Tumor,0qu422H5MOoQxGjd4IzHbS,"alternative, electronic",C
You'll Never Get to Heaven,1tHzhv6nGl2i5ZaSSFiwK7,"dream pop, shoegaze",C
Bob Seger,485uL27bPomh29R4JmQehQ,classic rock,C
Interpol,3WaJSfKnzc65VDgmj2zU8B,"indie rock, post-punk",C
Title Fight,2CnhqfjUG0qzsru0SMuhrk,"midwest emo, shoegaze, post-hardcore, melodic hardcore, emo",C
Bush,78SHxLdtysAXgywQ4vE0Oa,"grunge, post-grunge",C
Enigma,3DmG65yHQsMms7WAvrZOdt,"new age, gregorian chant",C
Tom Petty and the Heartbreakers,4tX2TplrkIP4v05BNC903e,classic rock,C
Surf Rock Is Dead,5iwmHxCi5pm28BEykL5Fyd,"surf rock, dream pop",C
Phantom Youth,6R3Zn2xPFisfiGQIrp4sKd,"dream pop, shoegaze",C
Rehash,10WfoBIKKTSqCvkeG1XW9T,shoegaze,C
Foxes In Fiction,3GSt4ZSP1wEtdbcTTbwjpW,"dream pop, shoegaze",C
Slowdive,72X6FHxaShda0XeQw3vbeF,"shoegaze, dream pop, slowcore",C
Fog Lake,04GCjO1r1hPelibCUq9S8H,"slowcore, lo-fi indie",C
Have A Nice Life,0FRKTwQSToXpCxYMhyUzYY,"shoegaze, slowcore",C
Ride,0WPY9nnBy01s5QOt4o4oQX,"shoegaze, dream pop, britpop, madchester, jangle pop, slowcore, neo-psychedelic",C
The Radio Dept.,0utS63XytOEVN1EtzWhJpG,"dream pop, shoegaze",C
Hope Sandoval & The Warm Inventions,38u18VoGaIwVeSyVoA0eU5,"slowcore, dream pop, art pop",C
Supertramp,3JsMj0DEzyWc0VDlHuy9Bx,"progressive rock, classic rock",C
Tamaryn,3TdVTSmMfLh55VrJDUpIQ2,"shoegaze, dream pop",C
Hibou,60S3PHPmmVaBxa0zrcAiHq,dream pop,C
GRAZER,66npZ0iLHcWmV2DAC8oYRF,"dream pop, shoegaze, lo-fi indie",C
Phantom Handshakes,1zg9SzoXC2U50P7Q403Alo,"dream pop, shoegaze",C
Tom Petty,2UZMlIwnkgAEDBsw1Rejkn,classic rock,C
Lady Radiator,5U2FH1VnxiZYbLcUVWGrov,post-hardcore,C
Wray,7j1EFfyMGmNxaLNIrVAID4,"shoegaze, dream pop",C
Kasabian,11wRdbnoYqRddKBrpHt4Ue,"britpop, indie, indie rock",C
Craft Spells,16lg8y62dC3J6ok1pNAbFJ,"dream pop, chillwave",C
Mojave 3,4jSYHcSo85heWskYvAULio,"slowcore, dream pop, shoegaze",C
Young Prisms,62Xs9S1gahH6vGEJ24qdkK,"shoegaze, dream pop",C
The Who,67ea9eGLXYMsO2eYQRui3w,"classic rock, rock",C
Steve Miller Band,6QtGlUje9TIkLrgPZrESuk,classic rock,C
Clarion,7KJSk2ytUFik1LGqFGHOLW,shoegaze,C
DIIV,4OrizGCKhOrW6iDDJHN9xd,"shoegaze, dream pop",C
POLIÇA,34vLhockmYhf3LgznwyNaQ,"alternative, indie",C
Sewerslvt,30F64wQIHvLiFTGaNZ73nU,"breakcore, jungle, speedcore, hyperpop",C
Moderat,2exkZbmNqMKnT8LRWuxWgy,"idm, electronica",C
George Clanton,1G5v3lpMz7TeoW0yGpRQHr,"vaporwave, chillwave",C
Radiohead,4Z8W4fKeB5YxbusRsdQVPb,"art rock, alternative rock",C
Duster,5AyEXCtu3xnnsTGCo4RVZh,"slowcore, shoegaze",C
Crystal Castles,7K3zpFXBvPcvzhj7zlGJdO,"witch house, electroclash, new rave, alternative dance",C
Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,"hip hop, west coast hip hop",C
