name,id,genres,user
Drake,3TVXtAsR1Inumwj472S9r4,rap,M
Moneybagg Yo,3tJoFztHeIJkJWMrx0td2f,"southern hip hop, trap, rap",M
Migos,6oMuImdp5ZcFhWP0ESe6mG,trap,M
A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,rap,M
Brent Faiyaz,3tlXnStJ1fFhdScmQeLpuG,r&b,M
Dave,6Ip8FS7vWT1uKkJSweANQK,"grime, uk grime, uk drill, drill",M
Future,1RyvyyTE3xzB2ZywiAwp0i,rap,M
D-Block Europe,5VadK1havLhK1OpKYsXv9y,"grime, uk drill",M
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,rap,M
A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,melodic rap,M
Quavo,0VRj0yCOv2FXJNP47XQnx5,"trap, rap",M
Masego,3ycxRkcZ67ALN3GQJ57Vig,"r&b, soul, alternative r&b",M
Kanye West,5K4W6rqBFWDnAN6FQUkS6x,rap,M
Young Thug,50co4Is1HCEo8bhOyUWKpn,"rap, melodic rap, trap",M
Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz,melodic rap,M
Lil Baby,5f7VJjfbwm532GiveGC0ZK,"rap, trap, melodic rap",M
HoodRich Pablo Juan,1ZLO8d7zll1WeQJUHaxQer,"trap, southern hip hop",M
Dua Lipa,0spHbv2fw49lDMkbOAdaqX,pop,M
Central Cee,5H4yInM5zmHqpKIoMNAx4r,"uk drill, drill, uk grime",M
Sheff G,1tG7s7S4sq2eFFW0QZyLbm,"brooklyn drill, new york drill, drill",M
Young Nudy,5yPzzu25VzEk8qrGTLIrE1,"trap, southern hip hop, rap",M
Pop Smoke,0eDvMgVFoNV3TpwtrVCoTj,"brooklyn drill, new york drill, drill",M
Playboi Carti,699OTQXzgjhIYAHMy9RyPD,rage rap,M
Meek Mill,20sxb77xiYeusSH8cVdatc,rap,M
Tory Lanez,2jku7tDXc6XoB6MO2hFuqg,"r&b, rap, canadian hip hop",M
Lil Durk,3hcs9uc56yIGFCSy9leWe7,"chicago drill, drill",M
Young Stoner Life,1xr2G8Hlx4QWmT9HaUbmoO,"trap, rap",M
Free Party,2A1dxDBORVkkbHJDVDOhed,"uk drill, drill",M
King Von,6QtgPSJPSzcnn7dPZ4VINp,"chicago drill, drill",M
SahBabii,7GuUYiGZOzQwq4L6gAfy1T,melodic rap,M
Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,soft pop,M
La Capone,69HouC7BpXVxTAFwpckJHs,"chicago drill, drill",M
Pooh Shiesty,5F1aAS1duwlzExnPs3l2Xe,"trap, southern hip hop",M
Kinrose,6SUbi1ZVEswHqRUWsxmq2m,"uk drill, drill",M
Calvin Harris,7CajNmpbOovFoOoasH2HaY,edm,M
NAV,7rkW85dBwwrJtlHRDkJDAC,melodic rap,M
Flozigg,0pTI6gG0UHQjylvV6mPuHv,"uk drill, drill",M
Skepta,2p1fiYHYiXz9qi0JJyxBzN,"grime, uk grime",M
DaBaby,4r63FhuTkUYltbVAg5TQnk,"rap, trap",M
Indila,0FEJqmeLRzsXj8hgcZaAyB,french pop,M
Mustard,0YinUQ50QDB7ZxSCLyQ40k,"west coast hip hop, hip hop",M
Gucci Mane,13y7CgLHjMVRMDqxdx0Xdo,"southern hip hop, rap, trap",M
Rich The Kid,1pPmIToKXyGdsCF6LmqLmI,trap,M
Faramarz Aslani,1xA7r3Y1UGCp3rQMkgFXz4,"persian pop, iranian pop",M
Don Toliver,4Gso3d4CscCijv0lmajZWs,"rap, trap, melodic rap",M
muna,4URLjSfWtdArslMrlA5suJ,"indie pop, alt pop",M
Tame Impala,5INjqkS1o8h1imAzPqGZBb,"neo-psychedelic, indie",M
Kurupt,6NyJIFHAePjHR1pFxwisqz,"g-funk, west coast hip hop, gangster rap, old school hip hop",M
Huncho Jack,6extd4B6hl8VTmnlhpl2bY,"trap, rap",M
Trevor Spitta,6uCXq7IoXFqGSB3L5zX5oV,"hip hop, rap",M
Gunna,2hlmm7s2ICUX0LVIhVFlZQ,melodic rap,M
Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,pop,M
Eminem,7dGJo4pcD2V6oG8kP0tJRR,"rap, hip hop",M
Metro Boomin,0iEtIxbK0KxaSlF7G42ZOp,"trap, hip hop",M
Offset,4DdkRBBYG6Yk9Ka8tdJ9BW,"trap, rap",M
21 Savage,1URnnhqYAYcrqrcwql10ft,"rap, trap",M
Lil Yachty,6icQOAFXDZKsumw3YXyusw,"melodic rap, rap",M
Yeat,3qiHUAX7zY4Qnjx8TNUzVx,rage rap,M
Kodak Black,46SHBwWsqBkxI7EeeBEQG7,"southern hip hop, trap, rap",M
Kap G,6JvU33PZ8MtZyeFTESr09O,"trap, southern hip hop",M
Polo G,6AgTAQt8XS6jRWi4sX7w49,"chicago drill, melodic rap",M
Castillo_1st,1SlEW6aktLpc1N6YvdEOmF,"latin hip hop, rap",M
Quality Control,6i392l38cR3uBPF0DbNs7S,"trap, hip hop",M
Georgian Folk,3D21btY4uY8j3LYwAR7zwz,"georgian folk, folk",M
Key Glock,0RESbWvOMyua0yuyVrztJ5,"trap, southern hip hop",M
Lil Tecca,4Ga1P7PMIsmqEZqhYZQgDo,"melodic rap, rap",M
NLE Choppa,0ErzCpIMyLcjPiwT4elrtZ,"trap, rap",M
6ix9ine,7gZfnEnfiaHzxARJ2LeXrf,"rap, trap",M
The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,"r&b, pop",M
ABBA,0LcJLqbBmaGUft1e9Mm8HV,"pop, disco",M
MadeinTYO,5SyGEPymt1G2uto47tVWvZ,"trap, hip hop",M
Lil Tjay,6jGMq4yGs7aQzuGsMgVgZR,"brooklyn drill, melodic rap",M
Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,"hip hop, west coast hip hop",M
Tiësto,2o5jDhtHVPhrJdv3cEQ99Z,"edm, trance, big room",M
Felipe Da Don,4kZt5tLRG8CuE2xmhO9k2r,"latin trap, latin hip hop",M
Tee Grizzley,6AUl0ykLLpvTktob97x9hO,"detroit hip hop, trap, rap",M
Tm88,5RMUeKq0dZxg9RHE1f0B9P,"trap, hip hop",M
Southside,23DYJsw4uSCguIqiTIDtcN,chicago drill,M
Coldplay,4gzpq5DPGxSnKTe4SA8HAU,"alternative rock, pop rock",M
Jhené Aiko,5ZS223C6JyBfXasXxrRqOk,r&b,M
Fredo,3rbtPd0NcvhO2AzMfzx90z,"grime, uk grime, uk drill, drill",M
Big Scarr,579LsvZcRVKtToYjS0tkKz,"trap, southern hip hop",M
Paper Route EMPIRE,65smG2lgnRmrDB8g7z1hG0,"trap, southern hip hop",M
Young Dolph,3HiuzBlSW7pGDXlSFMhO2g,"southern hip hop, trap",M
SNUPE BANDZ,72ltK39qT3DgtiCZgOAaGs,"trap, southern hip hop",M
PaperRoute Woo,5D2pVmcsajqTCO3czYdzrF,"brooklyn drill, drill",M
42 Dugg,45gHcnDnMC15sgx3VL7ROG,"detroit hip hop, trap",M
Tiffany Gouché,2IEnjZsVDEPKUTxNinyqba,"r&b, soul",M
ISO Supremacy,6rUez8y21xlLrYKExcXB1X,dark r&b,M
DJ Candlestick,0Ld26D4Ya5Od7ZZpLanfQJ,"hip hop, turntablism",M
Tommy Richman,1WaFQSHVGZQJTbf0BdxdNo,"alternative r&b, indie pop",M
FELIX!,1DN9Pgv4fiAaRSSgiisj5G,"rap, hip hop",M
Moby,3OsRAKCvk37zwYcnzRf5XF,"downtempo, trip hop",M
BlocBoy JB,4TEJudQY2pXxVHPE3gD2EU,"trap, southern hip hop",M
DNCE,6T5tfhQCknKG4UnH90qGnz,"pop, dance pop",M
Michael Jackson,3fMbdgg4jU18AjLCKBhRSm,"pop, soul, r&b",M
Downstait,4g6EnIPhmYBTZ7vsmxDkxH,"hard rock, alternative metal",M
CKay,048LktY5zMnakWq7PTtFrz,"afrobeats, afrobeat, afro r&b, afropop",M
ElGrandeToto,4BFLElxtBEdsdwGA1kHTsx,"moroccan rap, moroccan pop, arabic hip hop",M
Joel Corry,6DgP9otnZw5z6daOntINxp,dance pop,M
