id,name,popularity,followers,genres,user,detected category
03D2b6ATNCne8B3D251ncQ,Nation,32,13114,"electroclash, hyperpop",I,Electronic; Pop
03YhcM6fxypfwckPCQV8pQ,Wes Montgomery,53,314967,"bebop, cool jazz, hard bop, jazz, jazz blues",I,Jazz
048LktY5zMnakWq7PTtFrz,CKay,69,1738861,"afro r&b, afrobeat, afrobeats, afropop",M,R&B
04GCjO1r1hPelibCUq9S8H,Fog Lake,50,154390,"lo-fi indie, slowcore",C,Alternative/Indie
08GQAI4eElDnROBrJRGE0X,Fleetwood Mac,85,14129737,"classic rock, rock, soft rock, yacht rock","I, C",Rock/Metal
0EUOiLsLpv9g7H9YCzUnBS,･ ･－･ ･－ ･･･ ･ －･･,40,240972,"alternaive, singer songwriter",C,Alternative/Indie
0ErzCpIMyLcjPiwT4elrtZ,NLE Choppa,76,10108543,"rap, trap",M,Hip Hop/Rap
0FEJqmeLRzsXj8hgcZaAyB,Indila,71,2585730,french pop,M,International; Pop
0FRKTwQSToXpCxYMhyUzYY,Have A Nice Life,56,515808,"shoegaze, slowcore",C,Rock/Metal
0JTq0OP9uGo5T6gG6UNsma,Sebastian Comberti,47,1734,indie,I,Alternative/Indie
0LcJLqbBmaGUft1e9Mm8HV,ABBA,81,15045207,"disco, pop",M,Pop
0Ld26D4Ya5Od7ZZpLanfQJ,DJ Candlestick,47,12842,"hip hop, turntablism",M,Hip Hop/Rap
0Q17losYLQmvFMI0dxBqIz,Leo Kaliski,33,703,indie,I,Alternative/Indie
0RESbWvOMyua0yuyVrztJ5,Key Glock,74,2423599,"southern hip hop, trap",M,Hip Hop/Rap
0VRj0yCOv2FXJNP47XQnx5,Quavo,78,8156732,"rap, trap",M,Hip Hop/Rap
0WPY9nnBy01s5QOt4o4oQX,Ride,44,259326,"britpop, dream pop, jangle pop, madchester, neo-psychedelic, shoegaze, slowcore",C,Alternative/Indie; Pop; Rock/Metal
0Y4inQK6OespitzD6ijMwb,Freddie Gibbs,70,1491998,"alternative hip hop, jazz rap",C,Hip Hop/Rap
0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,91,41542753,rap,"M, C",Hip Hop/Rap
0YinUQ50QDB7ZxSCLyQ40k,Mustard,72,1964025,"hip hop, west coast hip hop",M,Hip Hop/Rap
0d2BmAcZ7p8vrtBPY48WMW,Department Of Eagles,29,53227,indie,C,Alternative/Indie
0eDvMgVFoNV3TpwtrVCoTj,Pop Smoke,77,15685925,"brooklyn drill, drill, new york drill",M,Hip Hop/Rap
0eVyjRhzZKke2KFYTcDkeu,The Alchemist,73,907132,"alternative hip hop, boom bap, experimental hip hop, jazz rap",C,Hip Hop/Rap
0epOFNiUfyON9EYx7Tpr6V,The Strokes,76,6485845,"alternative rock, garage rock, indie rock, rock",I,Alternative/Indie; Rock/Metal
0iEtIxbK0KxaSlF7G42ZOp,Metro Boomin,85,11832704,"hip hop, trap","M, I",Hip Hop/Rap
0pTI6gG0UHQjylvV6mPuHv,Flozigg,39,34209,"drill, uk drill",M,Hip Hop/Rap
