primary_artist,primary_artist_id,collaborator_id,collaborator_name
Drake,3TVXtAsR1Inumwj472S9r4,4Dm8GgbaqWzgnZeZrxAW0R,10X
Drake,3TVXtAsR1Inumwj472S9r4,17lzZA2AlOHwCwFALHttmp,2 Chainz
Drake,3TVXtAsR1Inumwj472S9r4,1URnnhqYAYcrqrcwql10ft,21 Savage
Drake,3TVXtAsR1Inumwj472S9r4,5fi7lIgJGH3RgUpJYcffQ7,4batz
Drake,3TVXtAsR1Inumwj472S9r4,3DiDSECUqqY1AuBP8qtaIa,Alicia Keys
Drake,3TVXtAsR1Inumwj472S9r4,74V3dE1a51skRkdII8y2C6,André 3000
Drake,3TVXtAsR1Inumwj472S9r4,3tiWA1jWfRFdE5TnbA7ufd,B. West
Drake,3TVXtAsR1Inumwj472S9r4,4q3ewBCX7sLwd24euuV69X,Bad Bunny
Drake,3TVXtAsR1Inumwj472S9r4,7kHe4uFK1KQFqMRP7td4mS,Bad Royale
Drake,3TVXtAsR1Inumwj472S9r4,4k7KKAyXbpBKe0iziD7c2P,Beatchild
Drake,3TVXtAsR1Inumwj472S9r4,0c173mlxpT3dSFRgMO8XPh,Big Sean
Drake,3TVXtAsR1Inumwj472S9r4,35sCXuy5gN6Or69rZ9vqBs,Birdman
Drake,3TVXtAsR1Inumwj472S9r4,6wMr4zKPrrR0UVz08WtUWc,Black Coffee
Drake,3TVXtAsR1Inumwj472S9r4,4TEJudQY2pXxVHPE3gD2EU,BlocBoy JB
Drake,3TVXtAsR1Inumwj472S9r4,3tlXnStJ1fFhdScmQeLpuG,Brent Faiyaz
Drake,3TVXtAsR1Inumwj472S9r4,2EMAnMvWE2eb56ToJVfCWs,Bryson Tiller
Drake,3TVXtAsR1Inumwj472S9r4,45a6gCQWq61lIUDmr1tKuO,Bun B
Drake,3TVXtAsR1Inumwj472S9r4,728pGpbVotlF0WU122hY7K,"C. ""Tricky"" Stewart"
Drake,3TVXtAsR1Inumwj472S9r4,4nDoRrQiYLoBzwC5BhVJzF,Camila Cabello
Drake,3TVXtAsR1Inumwj472S9r4,2R0CFyeMDiRbfkhkIMbyl1,Cash Cobain
Drake,3TVXtAsR1Inumwj472S9r4,5H4yInM5zmHqpKIoMNAx4r,Central Cee
Drake,3TVXtAsR1Inumwj472S9r4,6BvF6JW084IPyFFgXjbFz0,Che Merk
Drake,3TVXtAsR1Inumwj472S9r4,15iVAtD3s3FsQR4w1v6M0P,Chief Keef
Drake,3TVXtAsR1Inumwj472S9r4,0qudezVgvl4Chd9BgNFB83,Chilly Gonzales
Drake,3TVXtAsR1Inumwj472S9r4,2rmkQLzj0k4nZdQehOUByO,Chino Pacas
Drake,3TVXtAsR1Inumwj472S9r4,7bXgB6jMjp9ATFy66eO08Z,Chris Brown
Drake,3TVXtAsR1Inumwj472S9r4,0NggNHqsgAdoDHBOvBy0dB,Chrisette
Drake,3TVXtAsR1Inumwj472S9r4,3YJMzGjAm245zwJooY7PEj,Chrisette Michele
Drake,3TVXtAsR1Inumwj472S9r4,2ZcCfDk0QdIg6cSbxby27Q,Collin Munroe
Drake,3TVXtAsR1Inumwj472S9r4,1eNtnCEsJ1TF1TdXiK4T0H,Cori B.
Drake,3TVXtAsR1Inumwj472S9r4,4r63FhuTkUYltbVAg5TQnk,DaBaby
Drake,3TVXtAsR1Inumwj472S9r4,6Ip8FS7vWT1uKkJSweANQK,Dave
Drake,3TVXtAsR1Inumwj472S9r4,4sglKanXuoU0gqGYP3wiNv,Detail
Drake,3TVXtAsR1Inumwj472S9r4,2QYEvpsWUOjqaYuxDPTCmV,Diddy - Dirty Money
Drake,3TVXtAsR1Inumwj472S9r4,0Ld26D4Ya5Od7ZZpLanfQJ,DJ Candlestick
Drake,3TVXtAsR1Inumwj472S9r4,5oNgAs7j5XcBMzWv3HAnHG,DJ Drama
Drake,3TVXtAsR1Inumwj472S9r4,0QHgL1lAIqAw0HtD7YldmP,DJ Khaled
Drake,3TVXtAsR1Inumwj472S9r4,3D0bPiiHt5jSBvDBiu9Q4q,DJ Skandalous
Drake,3TVXtAsR1Inumwj472S9r4,0p4ViyfJUTW0IT4SCBLexf,Drakeo the Ruler
Drake,3TVXtAsR1Inumwj472S9r4,3yzx3iZE68gCEgBFnJmTnX,DuBueiro
Drake,3TVXtAsR1Inumwj472S9r4,7e1ICztHM2Sc4JNLxeMXYl,dvsn
Drake,3TVXtAsR1Inumwj472S9r4,7dGJo4pcD2V6oG8kP0tJRR,Eminem
Drake,3TVXtAsR1Inumwj472S9r4,0YWxKQj2Go9CGHCp77UOyy,Fabolous
Drake,3TVXtAsR1Inumwj472S9r4,4HAW6SJIXWSvyCjpMFdFn8,Famous
Drake,3TVXtAsR1Inumwj472S9r4,14CHVeJGrR5xgUGQFV5BVM,Fivio Foreign
Drake,3TVXtAsR1Inumwj472S9r4,5wUzuAKoHT2ItLdgAfa8sG,Fre$H
Drake,3TVXtAsR1Inumwj472S9r4,6vXTefBL93Dj5IqAWq6OTv,French Montana
Drake,3TVXtAsR1Inumwj472S9r4,0ys2OFYzWYB5hRDLCsBqxt,Fuerza Regida
Drake,3TVXtAsR1Inumwj472S9r4,1RyvyyTE3xzB2ZywiAwp0i,Future
Drake,3TVXtAsR1Inumwj472S9r4,3S0tlB4fE7ChxI2pWz8Xip,Giggs
Drake,3TVXtAsR1Inumwj472S9r4,4fxd5Ee7UefO4CUXgwJ7IP,GIVĒON
Drake,3TVXtAsR1Inumwj472S9r4,2rfGHbghj2XeVX2nYFbLSs,Goldfinger
Drake,3TVXtAsR1Inumwj472S9r4,4Ge9GwmWnOQsohwPTrXyHc,Gordo
Drake,3TVXtAsR1Inumwj472S9r4,5vgQ2oRyQbwNPYPMO5VMFX,GranDimez
Drake,3TVXtAsR1Inumwj472S9r4,13y7CgLHjMVRMDqxdx0Xdo,Gucci Mane
Drake,3TVXtAsR1Inumwj472S9r4,7s47glsDg6fwq9KXNTsTpa,Gudda Gudda
Drake,3TVXtAsR1Inumwj472S9r4,2hlmm7s2ICUX0LVIhVFlZQ,Gunna
Drake,3TVXtAsR1Inumwj472S9r4,6UCQYrcJ6wab6gnQ89OJFh,Headie One
Drake,3TVXtAsR1Inumwj472S9r4,5vzywo9BwgSd4vK5hz9qA8,hxzel
Drake,3TVXtAsR1Inumwj472S9r4,2lbtW9lGDxWidj06m3ZQZv,Ilia Kondrashin Kondrashin
Drake,3TVXtAsR1Inumwj472S9r4,3aGFCoR8xGN6DKwvdzeSja,ILOVEMAKONNEN
Drake,3TVXtAsR1Inumwj472S9r4,2a0uxJgbvvIRI4GX8pYfcr,J Hus
Drake,3TVXtAsR1Inumwj472S9r4,6l3HvQ5sa6mXTsMTB19rO5,J. Cole
Drake,3TVXtAsR1Inumwj472S9r4,4wFEeAYEBgvqt8nB6NGeE3,J.U.S.T.I.C.E League
Drake,3TVXtAsR1Inumwj472S9r4,2LIk90788K0zvyj2JJVwkJ,Jack Harlow
Drake,3TVXtAsR1Inumwj472S9r4,0qWtta2AJnHQITmWvhcehs,Jae Millz
Drake,3TVXtAsR1Inumwj472S9r4,5ooSG9S0glqP5ZrqqaHBvT,James Fauntleroy
Drake,3TVXtAsR1Inumwj472S9r4,7LnaAXbDVIL75IVPnndf7w,Jamie Foxx
Drake,3TVXtAsR1Inumwj472S9r4,1R1ZaDpOyunIdJ6oAssW8H,Jango Jack
Drake,3TVXtAsR1Inumwj472S9r4,3nFkdlSjzX9mRTtwJOzDYB,JAY-Z
Drake,3TVXtAsR1Inumwj472S9r4,4yBK75WVCQXej1p04GWqxH,Jeezy
Drake,3TVXtAsR1Inumwj472S9r4,5ZS223C6JyBfXasXxrRqOk,Jhené Aiko
Drake,3TVXtAsR1Inumwj472S9r4,1CoZyIx7UvdxT5c8UkMzHd,Jorja Smith
