"name","id","genres","collaborators"
"･ ･－･ ･－ ･･･ ･ －･･","0EUOiLsLpv9g7H9YCzUnBS","",NA
"21 Savage","1URnnhqYAYcrqrcwql10ft","","A$AP Rocky, Brent Faiyaz, Calvin Harris, Central Cee, Drake, Future, Gucci Mane, Gunna, Jhené Aiko, King Von, Kodak Black, Lil Baby, Lil Durk, Metro Boomin, Offset, Quavo, SahBabii, Travis Scott, Tyler, The Creator, Young Nudy, Young Thug"
"2hollis","72NhFAGG5Pt91VbheJeEPG","hyperpop",NA
"42 Dugg","45gHcnDnMC15sgx3VL7ROG","","Future, Lil Baby, Lil Durk, Lil Tjay, Lil Uzi Vert, Meek Mill, Moneybagg Yo, Tee Grizzley"
"6ix9ine","7gZfnEnfiaHzxARJ2LeXrf","","A Boogie Wit da Hoodie, Gunna, Kanye West, Kodak Black, Lil Baby, Offset, Tory Lanez, Young Thug"
"A Beacon School","5Kbx8AkkM7259YdQh4rTdX","dream pop",NA
"A Boogie Wit da Hoodie","31W5EY0aAly4Qieq6OFu6I","melodic rap","21 Savage, 6ix9ine, DaBaby, Ed Sheeran, Future, Gunna, Kap G, Kodak Black, Lil Durk, Lil Tecca, Lil Uzi Vert, Meek Mill, NAV, Offset, Pop Smoke, Tiësto, Tory Lanez, Young Thug"
"A Perfect Circle","4DFhHyjvGYa9wxdHUjtDkc","alternative metal",NA
"A$AP Rocky","13ubrt8QOOCPljQ2FL1Kca","rap","21 Savage, A Boogie Wit da Hoodie, BlocBoy JB, Blood Orange, Brent Faiyaz, Dean Blunt, DJ Candlestick, DJ Premier, Drake, Frank Ocean, Future, Gucci Mane, ISO Supremacy, Kanye West, Kendrick Lamar, Kodak Black, Lil Uzi Vert, Lil Yachty, MadeinTYO, Metro Boomin, Moby, Mustard, Offset, Playboi Carti, Pop Smoke, Quavo, Rich The Kid, Skepta, The Weeknd, Tyler, The Creator, Young Thug"
"ABBA","0LcJLqbBmaGUft1e9Mm8HV","",NA
"Alex G","6lcwlkAjBPSKnFBZjjZFJs","",NA
"Amen Dunes","1jwOuEBcOKq0BeudSarbEM","",NA
"Antoni Wit","2OJaTm0rPZVyMA5k5s8vbh","classical","Camille Saint-Saëns, Frédéric Chopin, Idil Biret, Johannes Brahms, Markus Pawlik, Moritz Moszkowski, Polish National Radio Symphony Orchestra"
"Arcade Fire","3kjuyTCjPG1WMFCiyc5IuB","indie rock, baroque pop",NA
"Arctic Monkeys","7Ln80lUS6He07XvHI8qqHH","indie",NA
"Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","pop","Childish Gambino, Future, The Weeknd"
"Ariel Pink","5H0YoDsPDi9fObFmJtTjfN","neo-psychedelic",NA
"Augustine Mayuga Gonzales","5rIiXGQsgxh3nQhEpFIbx7","indie","David Peacock, Toby Fox"
"Avicii","1vCWHaC5f2uS3yhpwWbIA6","edm","Joel Corry, Tiësto"
"bar italia","6tYmTHApvspl6KAgTfHjAY","lo-fi indie",NA
"Beach House","56ZTgzPBDge0OvCGgMO3OY","dream pop",NA
"Big Scarr","579LsvZcRVKtToYjS0tkKz","","Gucci Mane, Key Glock, NLE Choppa, Offset, Pooh Shiesty"
"Billie Holiday","1YzCsTRb22dQkh9lghPIrp","jazz",NA
"Bladee","2xvtxDNInKDV4AvGmjw6d1","hyperpop","Ecco2k, Nation, Oklou, Thaiboy Digital, Varg²™, Yung Lean"
"BlocBoy JB","4TEJudQY2pXxVHPE3gD2EU","","21 Savage, Drake, HoodRich Pablo Juan, Lil Durk, Lil Uzi Vert, Moneybagg Yo, NLE Choppa, Pooh Shiesty"
"Blood Orange","6LEeAFiJF8OuPx747e1wxR","art pop","A$AP Rocky, Skepta, Steve Lacy, Tame Impala, Yves Tumor"
"bôa","5jTtGLk1mGFMY5lQOvJYUj","",NA
"Bob Seger","485uL27bPomh29R4JmQehQ","classic rock",NA
"Bon Iver","4LEiUm1SRbFMgfqnQTwUbQ","",NA
"Brent Faiyaz","3tlXnStJ1fFhdScmQeLpuG","r&b","21 Savage, A$AP Rocky, DJ Candlestick, Don Toliver, Drake, FELIX!, Gucci Mane, ISO Supremacy, Kanye West, Meek Mill, Tommy Richman, Tyler, The Creator"
"Bright Eyes","5o206eFLx38glA2bb4zqIU","indie",NA
"Bush","78SHxLdtysAXgywQ4vE0Oa","grunge, post-grunge",NA
"Calvin Harris","7CajNmpbOovFoOoasH2HaY","edm","21 Savage, Ariana Grande, Frank Ocean, Future, Joel Corry, Lil Durk, Lil Yachty, Migos, Offset, Steve Lacy, The Weeknd, Tiësto, Travis Scott, Young Thug"
"Camille Saint-Saëns","436sYg6CZhNefQJogaXeK0","classical","Antoni Wit, Christine Croshaw, Daniel Barenboim, Gabriel Fauré, Idil Biret, Polish National Radio Symphony Orchestra"
"Car Seat Headrest","5PbpKlxQE0Ktl5lcNABoFf","midwest",NA
"Castillo_1st","1SlEW6aktLpc1N6YvdEOmF","",NA
"Cavetown","2hR4h1Cao2ueuI7Cx9c7V8","indie",NA
"Central Cee","5H4yInM5zmHqpKIoMNAx4r","uk drill, drill, uk grime","21 Savage, D-Block Europe, Dave, Drake, Ed Sheeran, Fredo, Lil Baby, Lil Durk, Skepta"
"Chanel Beads","3x11XrMEnyP18hv73pmKRL","lo-fi indie",NA
